application/andrew-inset|.ez
application/applixware|.aw
application/atom+xml|.atom
application/atomcat+xml|.atomcat
application/atomsvc+xml|.atomsvc
application/ccxml+xml|.ccxml
application/cu-seeme|.cu
application/davmount+xml|.davmount
application/ecmascript|.ecma
application/emma+xml|.emma
application/epub+zip|.epub
application/font-tdpfr|.pfr
application/gzip|.gz, .tgz|application/x-gzip
application/hyperstudio|.stk
application/java-archive|.jar
application/java-serialized-object|.ser
application/java-vm|.class
application/json|.json|text/json
application/lost+xml|.lostxml
application/mac-binhex40|.hqx
application/mac-compactpro|.cpt
application/marc|.mrc
application/mathematica|.ma, .mb, .nb
application/mathml+xml|.mathml, .mml|text/mathml
application/mbox|.mbox
application/mediaservercontrol+xml|.mscml
application/mp4|.mp4s
application/msword|.doc, .dot, .wiz
application/mxf|.mxf
application/octet-stream|.a, .bin, .bpk, .deploy, .dist, .distz, .dmg, .dms, .dump, .elc, .iso, .lha, .lrf, .lzh, .o, .obj, .pkg, .so
application/oda|.oda
application/oebps-package+xml|.opf
application/ogg|.ogx
application/onenote|.onepkg, .onetmp, .onetoc, .onetoc2
application/patch-ops-error+xml|.xer
application/pdf|.pdf|application/x-pdf
application/pgp-encrypted|.pgp
application/pgp-signature|.asc, .sig
application/pics-rules|.prf
application/pkcs10|.p10
application/pkcs7-mime|.p7c, .p7m|application/x-pkcs7-certreqresp
application/x-pkcs7-certificates
application/pkcs7-signature|.p7s
application/pkix-cert|.cer
application/pkix-crl|.crl
application/pkix-pkipath|.pkipath
application/pkixcmp|.pki
application/pls+xml|.pls
application/postscript|.ai, .eps, .ps
application/prql|.prql
application/prs.cww|.cww
application/rdf+xml|.rdf
application/reginfo+xml|.rif
application/relax-ng-compact-syntax|.rnc
application/resource-lists+xml|.rl
application/resource-lists-diff+xml|.rld
application/rls-services+xml|.rs
application/rsd+xml|.rsd
application/rss+xml|.rss, .xml
application/rtf|.rtf
application/sbml+xml|.sbml
application/scvp-cv-request|.scq
application/scvp-cv-response|.scs
application/scvp-vp-request|.spq
application/scvp-vp-response|.spp
application/sdp|.sdp
application/set-payment-initiation|.setpay
application/set-registration-initiation|.setreg
application/shf+xml|.shf
application/smil+xml|.smi, .smil
application/sparql-query|.rq
application/sparql-results+xml|.srx
application/srgs|.gram
application/srgs+xml|.grxml
application/ssml+xml|.ssml
application/vnd.3gpp.pic-bw-large|.plb
application/vnd.3gpp.pic-bw-small|.psb
application/vnd.3gpp.pic-bw-var|.pvb
application/vnd.3gpp2.tcap|.tcap
application/vnd.3m.post-it-notes|.pwn
application/vnd.accpac.simply.aso|.aso
application/vnd.accpac.simply.imp|.imp
application/vnd.acucobol|.acu
